Name,Formula,MW,TPSA,HBD,HBA,LogP
Aspirin,C9H8O4,180.15899999999996,63.60000000000001,1,3,1.3101
Caffeine,C8H10N4O2,194.194,61.82,0,3,-1.0293
Ibuprofen,C13H18O2,206.28499999999997,37.3,1,1,3.073200000000001
Paracetamol,C8H9NO2,151.165,49.33,2,2,1.3505999999999998
Benzene,C6H6,78.11399999999999,0.0,0,0,1.6866
Toluene,C7H8,92.14099999999999,0.0,0,0,1.99502
Phenol,C6H6O,94.11299999999997,20.23,1,1,1.3921999999999997
Acetone,C3H6O,58.08,17.07,0,1,0.5952999999999999
Ethanol,C2H6O,46.069,20.23,1,1,-0.0014000000000000123
Methanol,CH4O,32.042,20.23,1,1,-0.3915
Glucose,C6H12O6,180.156,110.38000000000001,5,6,-3.2213999999999987
Acetic acid,C2H4O2,60.05200000000001,37.3,1,1,0.09089999999999993
Citric acid,C6H8O7,192.12300000000002,132.13,4,4,-1.2485
Nicotine,C10H14N2,162.23600000000002,16.130000000000003,0,2,1.8483
Cholesterol,C27H46O,386.66400000000016,20.23,1,1,7.38870000000001
Urea,CH4N2O,60.05599999999999,69.11,2,1,-0.9762
Aniline,C6H7N,93.12899999999999,26.02,1,1,1.2687999999999997
Naphthalene,C10H8,128.17399999999995,0.0,0,0,2.839800000000001
Acetaldehyde,C2H4O,44.053,17.07,0,1,0.2052
Formaldehyde,CH2O,30.026,17.07,0,1,-0.1849
